listing_id,host_id,occupancy,price,number_of_reviews,rating,accommodates,minimum_nights,bedrooms,bathrooms,beds,host_is_superhost,pro_host,entire_home,instant_bookable
717,515,69,179,59,4.95,6,5,3,2,3,1,1,1,0
718,411,30,144,122,4.9,5,3,2,1,6,1,1,1,0
719,275,41,193,50,4.9,4,4,2,2,2,1,1,1,1
720,329,1,48,4,5,2,2,1,1,1,0,0,0,0
721,1030,85,110,103,4.85,4,7,2,2,2,1,1,1,0
722,771,6,299,84,4.9,8,2,2,2,4,1,1,1,0
723,908,50,316,40,4.8,8,7,4,3.5,5,1,1,1,0
724,408,67,300,46,4.45,7,3,3,2,5,0,1,1,0
725,388,3,82,60,4.5,4,1,1,1,1,0,1,0,0
726,73,6,61,291,4.95,3,1,1,1,2,1,1,1,0
727,651,0,204,38,4.8,6,3,2,2,2,0,0,1,1
728,635,0,65,2,5,2,2,1,1,2,0,1,1,0
729,791,0,656,12,5,16,4,8,6.5,13,0,1,1,0
730,30,40,40,90,4.85,2,3,1,1,1,1,0,0,0
731,376,90,64,83,4.95,2,3,1,1,1,1,1,0,0
732,914,67,517,72,4.95,8,4,4,3,7,0,0,1,1
733,702,7,50,229,4.85,2,1,1,1,1,1,1,0,0
734,554,18,203,51,4.95,8,2,2,2,2,1,1,1,0
735,744,0,169,1,5,4,366,4,2.5,4,0,1,1,0
736,890,1,52,80,4.7,2,1,1,1,1,0,1,0,0
737,634,0,80,4,4.75,2,5,1,1,1,0,1,0,0
738,63,0,117,4,3.75,2,2,1,1,1,0,1,1,0
739,472,36,100,2,4.5,6,28,2,2,3,0,1,1,0
740,445,29,175,4,4.5,6,5,2,2,3,0,1,1,0
741,1120,35,295,1,5,6,5,3,2,3,0,1,1,0
742,840,0,125,2,5,5,30,2,2,2,0,1,0,0
743,711,0,150,42,4.75,6,15,2,2,3,0,0,1,0
744,23,42,237,33,4.75,8,4,4,4,4,1,1,1,0
745,93,1,356,2,5,8,2,2,2,3,0,1,1,0
746,258,0,100,1,2,4,25,1,2.5,3,0,1,1,0
747,902,2,52,19,4.1,2,1,1,1,1,0,1,0,0
748,127,0,50,2,0,4,1,1,1,2,0,0,0,0
749,514,48,99,4,5,6,4,1,1,2,1,1,1,0
750,1094,1,60,20,4.6,2,2,1,1,1,0,0,0,0
751,634,44,256,284,4.8,4,2,2,1,2,1,0,1,0
752,863,90,58,80,4.95,2,2,1,1,2,1,0,1,0
753,256,5,165,32,4.8,5,22,2,3,3,0,0,1,0
754,847,89,300,126,4.75,7,3,3,3,3,0,1,1,0
755,842,0,100,64,4.7,2,3,1,1,1,0,0,0,0
756,1084,90,60,279,4.95,2,21,1,1,1,1,0,1,0
757,823,75,55,8,5,2,3,1,1,1,1,1,0,0
758,528,55,180,5,4.2,6,1,2,1.5,3,0,0,1,0
759,379,43,257,120,4.75,8,2,3,2,4,1,1,1,0
760,904,21,118,11,4.65,2,4,1,1,1,0,1,1,1
761,484,40,282,36,4.9,8,4,3,2,9,0,1,1,1
762,495,1,145,2,5,4,7,1,1,2,0,1,1,0
763,925,70,271,52,4.9,6,3,3,2,3,0,0,1,0
764,269,42,99,28,4.8,6,4,1,1,3,1,1,1,0
765,259,90,50,37,4.35,4,3,1,1,3,0,1,1,1
766,875,0,69,1,5,2,1,1,1,1,0,1,0,0
767,1046,85,125,5,5,2,5,1,1,2,0,0,1,0
768,437,1,130,7,4.6,4,3,1,1,0,0,1,1,0
769,182,27,88,158,4.75,2,1,1,1,1,1,1,0,1
770,258,6,110,2,4,4,7,1,1,2,0,1,1,0
771,302,89,82,44,4.9,6,3,2,2,3,1,1,1,1
772,242,11,184,14,5,6,2,2,2,4,0,1,1,0
773,898,90,161,4,4.75,4,2,1,1,2,0,1,1,0
774,840,37,209,1,5,6,2,2,2,3,0,1,1,0
775,820,18,130,1,5,2,2,1,1,1,0,1,1,0
776,528,18,150,3,5,4,2,1,1,2,0,1,1,0
777,664,37,330,32,4.65,5,2,1,1,3,0,1,1,1
778,481,88,149,1,5,2,5,1,1,1,0,0,1,0
779,584,31,106,91,4.85,8,2,3,2,3,1,1,1,0
780,392,0,61,5,5,3,90,1,1,2,0,0,1,0
781,1040,4,52,219,4.65,2,1,1,1,1,0,1,0,0
782,678,0,125,3,4,2,7,1,1,2,0,1,1,0
783,918,48,50,11,4.8,1,4,1,1,1,0,0,0,0
784,837,0,350,7,3,7,1,3,4,4,0,0,1,0
785,1104,3,490,30,5,6,3,3,2,4,1,1,1,1
786,977,65,176,7,4.3,6,28,1,1,2,0,1,1,0
